Empresa,Nemónico,Seg.,Ant.,Fecha ant.,Apertura,Última,Var%,Compra,Venta,Monto,Cantidad Neg.,N°Op
American Airlines Group Inc,AAL,RV3,17.1,09/02/23,14.0,14.0,0.00%,,,"4,900.00",350,1
Apple Inc.,AAPL,RV3,166.0,04/04/23,163.09,163.09,-1.75%,,,"32,621.00",200,2
AENZA S.A.A.,AENZAC1,RV3,0.64,04/04/23,,,0.00%,0.62,0.63,"1,417.00","2,285",1
ALICORP S.A.A.,ALICORC1,RV1,6.45,04/04/23,6.55,6.55,1.55%,6.5,6.98,"27,978.00","4,279",18
ALICORP S.A.A.,ALICORI1,RV1,4.0,03/04/23,4.4,4.4,10.00%,,,"5,491.00","1,248",2
Amazon,AMZN,RV3,103.3,04/04/23,100.99,101.0,-2.23%,,,"54,943.00",544,4
NEXA RESOURCES ATACOCHA S.A.A.,ATACOBC1,RV1,0.072,15/03/23,,,0.00%,,0.07,"1,041.00","15,003",3
AUSTRAL GROUP S.A.A.,AUSTRAC1,RV1,1.59,31/03/23,1.69,1.69,6.29%,1.58,1.75,"6,999.00","4,200",3
Bank of America Corporation,BAC,RV3,27.72,04/04/23,27.58,27.73,0.04%,26.48,,"24,882.00",900,2
UNION DE CERVECERIAS PERUANAS BACKUS Y J...,BACKUAC1,RV1,198.5,20/03/23,230.0,230.0,15.87%,200.5,,"7,360.00",32,1
UNION DE CERVECERIAS PERUANAS BACKUS Y J...,BACKUSI1,RV1,26.0,04/04/23,26.0,26.1,0.38%,26.1,26.25,"251,117.00","9,589",10
CREDICORP LTD.,BAP,RV3,129.53,04/04/23,128.7,129.58,0.04%,129.2,132.0,"75,140.00",582,6
BANCO BBVA PERU,BBVAC1,RV1,1.8,04/04/23,1.8,1.8,0.00%,1.79,1.8,"198,362.00","110,401",22
SOCIEDAD MINERA EL BROCAL S.A.A.,BROCALC1,RV1,5.2,03/04/23,5.2,5.2,0.00%,5.2,5.85,"6,479.00","1,246",1
SOCIEDAD MINERA EL BROCAL S.A.A.,BROCALI1,RV2,3.8,19/12/22,3.8,3.8,0.00%,,,"31,920.00","8,400",1
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,BVN,RV3,8.35,04/04/23,8.3,8.23,-1.44%,8.17,8.4,"139,398.00","17,029",33
CASA GRANDE SOCIEDAD ANONIMA ABIERTA (CA...,CASAGRC1,RV1,9.33,04/04/23,9.33,9.3,-0.32%,9.2,9.3,"33,139.00","3,556",10
CORPORACION ACEROS AREQUIPA S.A.,CORAREI1,RV1,1.29,04/04/23,1.28,1.28,-0.78%,1.28,1.29,"15,399.00","12,030",2
CEMENTOS PACASMAYO S.A.A.,CPACASC1,RV3,4.04,04/04/23,4.0,4.0,-0.99%,4.0,4.05,"53,470.00","13,364",7
BANCO DE CREDITO DEL PERU,CREDITC1,RV1,2.94,04/04/23,2.95,2.96,0.68%,2.94,2.96,"92,900.00","31,392",26
SOCIEDAD MINERA CERRO VERDE S.A.A.,CVERDEC1,RV1,30.0,04/04/23,29.8,30.5,1.67%,30.5,31.5,"8,331.00",277,4
Walt Disney Co.,DIS,RV3,100.0,04/04/23,,,0.00%,,,502.00,5,3
ENEL DISTRIBUCIÓN PERÚ S.A.A.,ENDISPC1,RV1,13.55,03/04/23,13.6,13.68,0.96%,13.62,13.67,"1,405,779.00","103,622",14
